scenario_id,display_name,domain,model_id,purpose,environment,archive,source_url,taoryx_status,priority
Atmos_11,F-16 Subsonic Trim Flyout,atmospheric,f16-s119,Trim and open-loop subsonic 6-DOF propagation,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc11,source-collected,2
Atmos_12,F-16 Supersonic Trim Flyout,atmospheric,f16-s119,Supersonic trim and flyout,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc12,source-collected,2
Atmos_13p1,F-16 Subsonic Altitude Change,atmospheric,f16-s119,Closed-loop altitude response,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc13p1,source-collected,2
Atmos_13p2,F-16 Subsonic Airspeed Change,atmospheric,f16-s119,Closed-loop speed response,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc13p2,source-collected,2
Atmos_13p3,F-16 Subsonic Heading Change,atmospheric,f16-s119,Closed-loop heading response,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc13p3,source-collected,2
Atmos_13p4,F-16 Subsonic Lateral Step,atmospheric,f16-s119,Lateral offset and coupled control response,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc13p4,source-collected,2
Atmos_15,F-16 North-Pole Circumnavigation,atmospheric,f16-s119,Polar geodesy and course handling,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc15,source-collected,2
Atmos_16,F-16 Equator/IDL Circumnavigation,atmospheric,f16-s119,Latitude sign and longitude wrapping,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc16,source-collected,2
Atmos_17,Two-Stage Rocket Sea-Level Launch,atmospheric,nesc-two-stage-rocket,"Variable mass, moving CG/inertia, staging, and ascent",WGS-84 rotating; J2; full US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc17,source-collected,2
Orbit_02,ISS Orbit Propagation,orbital,nesc-international-space-station,Baseline translational orbit propagation,WGS-84 rotating; inverse-square gravity,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ02,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_03A,ISS with 4x4 Gravity,orbital,nesc-international-space-station,Spherical-harmonic gravity order 4x4,WGS-84 rotating; 4x4 gravity,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ03a,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_03B,ISS with 8x8 Gravity,orbital,nesc-international-space-station,Spherical-harmonic gravity order 8x8,WGS-84 rotating; 8x8 gravity,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ03b,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_04,ISS with Third-Body Disturbances,orbital,nesc-international-space-station,Solar/lunar third-body perturbations,WGS-84 rotating; ephemerides; third-body gravity,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ04,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_05A,"ISS Atmosphere, Minimal Solar Activity",orbital,nesc-international-space-station,Low-density MET atmosphere case,MET atmosphere; minimal solar activity,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ05a,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_05B,"ISS Atmosphere, Mean Solar Activity",orbital,nesc-international-space-station,Mean-density MET atmosphere case,MET atmosphere; mean solar activity,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ05b,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_05C,"ISS Atmosphere, Maximum Solar Activity",orbital,nesc-international-space-station,High-density MET atmosphere case,MET atmosphere; maximum solar activity,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ05c,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_06A,Orbital Sphere with Fixed Drag,orbital,nesc-orbital-spheroid,Fixed-density ballistic drag,Inverse-square gravity; constant atmosphere density,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ06a,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_06B,Orbital Sphere with Dynamic Drag,orbital,nesc-orbital-spheroid,Time/position-varying orbital drag,Inverse-square gravity; MET atmosphere,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ06b,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_06C,Cylinder Plane-Change Firing,orbital,nesc-orbital-cylinder,Scheduled applied body force,Inverse-square gravity; applied force schedule,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ06c,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_06D,Cylinder Earth-Departure Firing,orbital,nesc-orbital-cylinder,High-energy scheduled body thrust,Inverse-square gravity; applied force schedule,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ06d,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_07A,Sphere with 4x4 Gravity and Third Body,orbital,nesc-orbital-spheroid,Combined 4x4 and third-body perturbations,4x4 gravity; third body; no drag,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ07a,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_07B,Sphere with 8x8 Gravity and Third Body,orbital,nesc-orbital-spheroid,Combined 8x8 and third-body perturbations,8x8 gravity; third body; no drag,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ07b,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_07C,"Sphere with 4x4 Gravity, Third Body, and Drag",orbital,nesc-orbital-spheroid,Combined lower-order perturbation stack,4x4 gravity; third body; MET drag,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ07c,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_07D,"Sphere with 8x8 Gravity, Third Body, and Drag",orbital,nesc-orbital-spheroid,Combined higher-order perturbation stack,8x8 gravity; third body; MET drag,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ07d,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_08A,"ISS Free Rotation, Zero Initial Rate",orbital,nesc-international-space-station,Torque-free attitude propagation,Orbital frame; zero external torque,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ08a,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_08B,"ISS Free Rotation, Nonzero Initial Rate",orbital,nesc-international-space-station,Torque-free asymmetric inertia rotation,Orbital frame; zero external torque,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ08b,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_09A,"ISS Torque, Zero Initial Rate",orbital,nesc-international-space-station,Scheduled body torque response,Applied torque schedule,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ09a,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_09B,"ISS Torque, Nonzero Initial Rate",orbital,nesc-international-space-station,Torque response with initial rotation,Applied torque schedule,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ09b,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_09C,"ISS Torque and Force, Zero Initial Rate",orbital,nesc-international-space-station,Coupled translational/rotational forcing,Applied torque and force schedule,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ09c,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_09D,"ISS Torque and Force, Nonzero Initial Rate",orbital,nesc-international-space-station,Coupled forcing with initial rotation,Applied torque and force schedule,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ09d,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_10A,"Cylinder Circular Orbit, Gravity Gradient, Zero Rate",orbital,nesc-orbital-cylinder,Gravity-gradient attitude dynamics,Circular orbit; gravity-gradient torque,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ10a,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_10B,"Cylinder Circular Orbit, Gravity Gradient, Initial Rate",orbital,nesc-orbital-cylinder,Gravity-gradient dynamics with initial rotation,Circular orbit; gravity-gradient torque,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ10b,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_10C,"Cylinder Elliptical Orbit, Gravity Gradient, Zero Rate",orbital,nesc-orbital-cylinder,Time-varying gravity gradient,Elliptical orbit; gravity-gradient torque,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ10c,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_10D,"Cylinder Elliptical Orbit, Gravity Gradient, Initial Rate",orbital,nesc-orbital-cylinder,Time-varying gravity gradient with initial rate,Elliptical orbit; gravity-gradient torque,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occ10d,cataloged-official-link; archive-bytes-not-bundled,2
Orbit_FULL,ISS Responding to All Effects,orbital,nesc-international-space-station,Integrated orbital environment and rigid-body case,High-order gravity; third body; MET drag; applied effects,https://nescacademy.nasa.gov/src/flightsim/Datasets/Orbital_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/orbital/occfull,cataloged-official-link; archive-bytes-not-bundled,2
